id,xmin,xmax,ymin,ymax,CellName,Col,Lin
67,81.000000000000000,81.250000000000000,-53.500000000000000,-53.250000000000000,E4,E,4
68,81.250000000000000,81.500000000000000,-53.500000000000000,-53.250000000000000,F4,F,4
69,81.500000000000000,81.750000000000000,-53.500000000000000,-53.250000000000000,G4,G,4
70,81.750000000000000,82.000000000000000,-53.500000000000000,-53.250000000000000,H4,H,4
71,82.000000000000000,82.250000000000000,-53.500000000000000,-53.250000000000000,I4,I,4
72,82.250000000000000,82.500000000000000,-53.500000000000000,-53.250000000000000,J4,J,4
73,82.500000000000000,82.750000000000000,-53.500000000000000,-53.250000000000000,K4,K,4
74,82.750000000000000,83.000000000000000,-53.500000000000000,-53.250000000000000,L4,L,4
75,83.000000000000000,83.250000000000000,-53.500000000000000,-53.250000000000000,M4,M,4
76,83.250000000000000,83.500000000000000,-53.500000000000000,-53.250000000000000,N4,N,4
77,83.500000000000000,83.750000000000000,-53.500000000000000,-53.250000000000000,O4,O,4
78,83.750000000000000,84.000000000000000,-53.500000000000000,-53.250000000000000,P4,P,4
79,84.000000000000000,84.250000000000000,-53.500000000000000,-53.250000000000000,Q4,Q,4
80,84.250000000000000,84.500000000000000,-53.500000000000000,-53.250000000000000,R4,R,4
81,84.500000000000000,84.750000000000000,-53.500000000000000,-53.250000000000000,S4,S,4
82,84.750000000000000,85.000000000000000,-53.500000000000000,-53.250000000000000,T4,T,4
84,80.000000000000000,80.250000000000000,-53.750000000000000,-53.500000000000000,A5,A,5
85,80.250000000000000,80.500000000000000,-53.750000000000000,-53.500000000000000,B5,B,5
86,80.500000000000000,80.750000000000000,-53.750000000000000,-53.500000000000000,C5,C,5
87,80.750000000000000,81.000000000000000,-53.750000000000000,-53.500000000000000,D5,D,5
88,81.000000000000000,81.250000000000000,-53.750000000000000,-53.500000000000000,E5,E,5
89,81.250000000000000,81.500000000000000,-53.750000000000000,-53.500000000000000,F5,F,5
90,81.500000000000000,81.750000000000000,-53.750000000000000,-53.500000000000000,G5,G,5
91,81.750000000000000,82.000000000000000,-53.750000000000000,-53.500000000000000,H5,H,5
92,82.000000000000000,82.250000000000000,-53.750000000000000,-53.500000000000000,I5,I,5
93,82.250000000000000,82.500000000000000,-53.750000000000000,-53.500000000000000,J5,J,5
94,82.500000000000000,82.750000000000000,-53.750000000000000,-53.500000000000000,K5,K,5
95,82.750000000000000,83.000000000000000,-53.750000000000000,-53.500000000000000,L5,L,5
96,83.000000000000000,83.250000000000000,-53.750000000000000,-53.500000000000000,M5,M,5
97,83.250000000000000,83.500000000000000,-53.750000000000000,-53.500000000000000,N5,N,5
98,83.500000000000000,83.750000000000000,-53.750000000000000,-53.500000000000000,O5,O,5
99,83.750000000000000,84.000000000000000,-53.750000000000000,-53.500000000000000,P5,P,5
100,84.000000000000000,84.250000000000000,-53.750000000000000,-53.500000000000000,Q5,Q,5
101,84.250000000000000,84.500000000000000,-53.750000000000000,-53.500000000000000,R5,R,5
102,84.500000000000000,84.750000000000000,-53.750000000000000,-53.500000000000000,S5,S,5
103,84.750000000000000,85.000000000000000,-53.750000000000000,-53.500000000000000,T5,T,5
105,80.000000000000000,80.250000000000000,-54.000000000000000,-53.750000000000000,A6,A,6
106,80.250000000000000,80.500000000000000,-54.000000000000000,-53.750000000000000,B6,B,6
107,80.500000000000000,80.750000000000000,-54.000000000000000,-53.750000000000000,C6,C,6
108,80.750000000000000,81.000000000000000,-54.000000000000000,-53.750000000000000,D6,D,6
109,81.000000000000000,81.250000000000000,-54.000000000000000,-53.750000000000000,E6,E,6
110,81.250000000000000,81.500000000000000,-54.000000000000000,-53.750000000000000,F6,F,6
111,81.500000000000000,81.750000000000000,-54.000000000000000,-53.750000000000000,G6,G,6
112,81.750000000000000,82.000000000000000,-54.000000000000000,-53.750000000000000,H6,H,6
113,82.000000000000000,82.250000000000000,-54.000000000000000,-53.750000000000000,I6,I,6
114,82.250000000000000,82.500000000000000,-54.000000000000000,-53.750000000000000,J6,J,6
115,82.500000000000000,82.750000000000000,-54.000000000000000,-53.750000000000000,K6,K,6
116,82.750000000000000,83.000000000000000,-54.000000000000000,-53.750000000000000,L6,L,6
117,83.000000000000000,83.250000000000000,-54.000000000000000,-53.750000000000000,M6,M,6
118,83.250000000000000,83.500000000000000,-54.000000000000000,-53.750000000000000,N6,N,6
119,83.500000000000000,83.750000000000000,-54.000000000000000,-53.750000000000000,O6,O,6
120,83.750000000000000,84.000000000000000,-54.000000000000000,-53.750000000000000,P6,P,6
121,84.000000000000000,84.250000000000000,-54.000000000000000,-53.750000000000000,Q6,Q,6
122,84.250000000000000,84.500000000000000,-54.000000000000000,-53.750000000000000,R6,R,6
123,84.500000000000000,84.750000000000000,-54.000000000000000,-53.750000000000000,S6,S,6
124,84.750000000000000,85.000000000000000,-54.000000000000000,-53.750000000000000,T6,T,6
126,80.000000000000000,80.250000000000000,-54.250000000000000,-54.000000000000000,A7,A,7
127,80.250000000000000,80.500000000000000,-54.250000000000000,-54.000000000000000,B7,B,7
128,80.500000000000000,80.750000000000000,-54.250000000000000,-54.000000000000000,C7,C,7
129,80.750000000000000,81.000000000000000,-54.250000000000000,-54.000000000000000,D7,D,7
130,81.000000000000000,81.250000000000000,-54.250000000000000,-54.000000000000000,E7,E,7
